10TH AV,PARDEE ST,3,Y
10TH ST,ADDISON ST,4,Y
10TH ST,ADDISON ST,3,Y
10TH ST,ALLSTON WY,3,Y
10TH ST,BANCROFT WY,4,Y
10TH ST,DELAWARE ST,4,Y
10TH ST,DWIGHT WY,3,Y
10TH ST,DWIGHT WY,0,Y
10TH ST,UNIVERSITY AV,0,Y
2ND ST,GILMAN ST,3,Y
2ND ST,GILMAN ST,2,Y
2ND ST,HEARST AV,4,Y
2ND ST,HEARST AV,2,Y
2ND ST,UNIVERSITY AV,0,Y
4TH ST,DELAWARE ST,3,Y
4TH ST,VIRGINIA ST,3,Y
5TH ST,CHANNING WY,3,Y
5TH ST,CHANNING WY,3,Y
66TH ST,ACTON ST,4,Y
66TH ST,SACRAMENTO ST,3,Y
6TH ST,ADDISON ST,3,Y
6TH ST,ALLSTON WY,4,Y
6TH ST,BANCROFT WY,3,Y
6TH ST,CEDAR ST,3,Y
6TH ST,CHANNING WY,4,Y
6TH ST,CHANNING WY,2,Y
6TH ST,DWIGHT WY,3,Y
6TH ST,DWIGHT WY,3,Y
6TH ST,DWIGHT WY,4,Y
6TH ST,DWIGHT WY,3,Y
6TH ST,GILMAN ST,3,Y
6TH ST,GILMAN ST,4,Y
6TH ST,HEARST AV,3,Y
6TH ST,HEARST AV,3,Y
6TH ST,JONES ST,4,Y
6TH ST,PAGE ST,3,Y
6TH ST,UNIVERSITY AV,0,Y
6TH ST,UNIVERSITY AV,4,Y
6TH ST,UNIVERSITY AV,4,Y
6TH ST,VIRGINIA ST,4,Y
6TH ST,VIRGINIA ST,3,Y
7TH ST,ANTHONY ST,3,Y
7TH ST,ANTHONY ST,3,Y
7TH ST,ASHBY AV,3,Y
7TH ST,CARLETON ST,2,Y
7TH ST,CARLETON ST,3,Y
7TH ST,DWIGHT WY,4,Y
7TH ST,DWIGHT WY,3,Y
7TH ST,FOLGER AV,4,Y
7TH ST,FOLGER AV,3,Y
7TH ST,FOLGER AV,4,Y
7TH ST,HEINZ AV,4,Y
7TH ST,HEINZ AV,4,Y
7TH ST,HEINZ AV,3,Y
7TH ST,MURRAY ST,3,Y
7TH ST,PARDEE ST,4,Y
7TH ST,PARDEE ST,4,Y
7TH ST,POTTER ST,4,Y
7TH ST,UNIVERSITY AV,4,Y
7TH ST,UNIVERSITY AV,4,Y
7TH ST,VIRGINIA ST,3,Y
8TH ST,GILMAN ST,4,Y
8TH ST,GILMAN ST,0,Y
8TH ST,HARRISON ST,4,Y
8TH ST,HEARST AV,3,Y
8TH ST,PARDEE ST,3,Y
9TH ST,19TH ST,4,Y
9TH ST,ALLSTON WY,4,Y
9TH ST,ALLSTON WY,4,Y
9TH ST,ANTHONY ST,3,Y
9TH ST,BANCROFT WY,4,Y
9TH ST,CEDAR ST,3,Y
9TH ST,CHANNING WY,4,Y
9TH ST,DELAWARE ST,3,Y
9TH ST,DWIGHT WY,0,Y
9TH ST,DWIGHT WY,4,Y
9TH ST,GRAYSON ST,4,Y
9TH ST,HEARST AV,3,Y
9TH ST,HEARST AV,3,Y
9TH ST,HEINZ AV,4,Y
9TH ST,HEINZ AV,3,Y
9TH ST,HEINZ AV,3,Y
9TH ST,JONES ST,3,Y
9TH ST,JONES ST,4,Y
9TH ST,VIRGINIA ST,3,Y
9TH ST,VIRGINIA ST,4,Y
ACTON ST,ALLSTON WY,3,Y
ACTON ST,ASHBY AV,4,Y
ACTON ST,BANCROFT WY,3,Y
ACTON ST,HASKELL ST,0,Y
ACTON ST,RUSSELL ST,4,Y
ACTON ST,UNIVERSITY AV,3,Y
ACTON ST,UNIVERSITY AV,3,Y
ADDISON ST,10TH ST,2,Y
ADDISON ST,2ND ST,4,Y
ADDISON ST,4TH ST,0,Y
